date,clicks,t,log_sales,t_squared,t_cube,t^4,mon,tue,wed,thur,fri,sat,sun
21-11-2015,182,144,5.204006687,20736,2985984,429981696,0,0,0,0,0,0,1
22-11-2015,499,145,6.212606096,21025,3048625,442050625,1,0,0,0,0,0,0
23-11-2015,253,146,5.533389489,21316,3112136,454371856,0,1,0,0,0,0,0
24-11-2015,220,147,5.393627546,21609,3176523,466948881,0,0,1,0,0,0,0
25-11-2015,124,148,4.820281566,21904,3241792,479785216,0,0,0,1,0,0,0
26-11-2015,193,149,5.262690189,22201,3307949,492884401,0,0,0,0,1,0,0
27-11-2015,134,150,4.8978398,22500,3375000,506250000,0,0,0,0,0,1,0
28-11-2015,162,151,5.087596335,22801,3442951,519885601,0,0,0,0,0,0,1
29-11-2015,345,152,5.843544417,23104,3511808,533794816,1,0,0,0,0,0,0
30-11-2015,174,153,5.159055299,23409,3581577,547981281,0,1,0,0,0,0,0
01-12-2015,109,154,4.691347882,23716,3652264,562448656,0,0,1,0,0,0,0
02-12-2015,108,155,4.682131227,24025,3723875,577200625,0,0,0,1,0,0,0
03-12-2015,135,156,4.905274778,24336,3796416,592240896,0,0,0,0,1,0,0
04-12-2015,125,157,4.828313737,24649,3869893,607573201,0,0,0,0,0,1,0
05-12-2015,145,158,4.976733742,24964,3944312,623201296,0,0,0,0,0,0,1
06-12-2015,287,159,5.659482216,25281,4019679,639128961,1,0,0,0,0,0,0
07-12-2015,285,160,5.65248918,25600,4096000,655360000,0,1,0,0,0,0,0
08-12-2015,332,161,5.805134969,25921,4173281,671898241,0,0,1,0,0,0,0
09-12-2015,210,162,5.347107531,26244,4251528,688747536,0,0,0,1,0,0,0
10-12-2015,116,163,4.753590191,26569,4330747,705911761,0,0,0,0,1,0,0
11-12-2015,110,164,4.700480366,26896,4410944,723394816,0,0,0,0,0,1,0
12-12-2015,176,165,5.170483995,27225,4492125,741200625,0,0,0,0,0,0,1
13-12-2015,390,166,5.966146739,27556,4574296,759333136,1,0,0,0,0,0,0
14-12-2015,220,167,5.393627546,27889,4657463,777796321,0,1,0,0,0,0,0
15-12-2015,179,168,5.187385806,28224,4741632,796594176,0,0,1,0,0,0,0
16-12-2015,153,169,5.030437921,28561,4826809,815730721,0,0,0,1,0,0,0
17-12-2015,150,170,5.010635294,28900,4913000,835210000,0,0,0,0,1,0,0
18-12-2015,100,171,4.605170186,29241,5000211,855036081,0,0,0,0,0,1,0
19-12-2015,151,172,5.017279837,29584,5088448,875213056,0,0,0,0,0,0,1
20-12-2015,345,173,5.843544417,29929,5177717,895745041,1,0,0,0,0,0,0
21-12-2015,378,174,5.934894196,30276,5268024,916636176,0,1,0,0,0,0,0
22-12-2015,249,175,5.517452896,30625,5359375,937890625,0,0,1,0,0,0,0
23-12-2015,175,176,5.164785974,30976,5451776,959512576,0,0,0,1,0,0,0
24-12-2015,178,177,5.18178355,31329,5545233,981506241,0,0,0,0,1,0,0
25-12-2015,146,178,4.983606622,31684,5639752,1003875856,0,0,0,0,0,1,0
26-12-2015,220,179,5.393627546,32041,5735339,1026625681,0,0,0,0,0,0,1
27-12-2015,463,180,6.137727054,32400,5832000,1049760000,1,0,0,0,0,0,0
28-12-2015,448,181,6.104793232,32761,5929741,1073283121,0,1,0,0,0,0,0
29-12-2015,197,182,5.283203729,33124,6028568,1097199376,0,0,1,0,0,0,0
30-12-2015,252,183,5.529429088,33489,6128487,1121513121,0,0,0,1,0,0,0
31-12-2015,126,184,4.836281907,33856,6229504,1146228736,0,0,0,0,1,0,0
